Latitude (decimal degrees):	49.915
Longitude (decimal degrees):	21.866
Elevation (m):	230
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: -90 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190609:1110,294.77,378.31,61.94,22.12,2.55,0.0
20190609:1210,179.53,237.44,56.76,22.88,2.28,0.0
20190609:1310,295.12,386.3,48.91,23.43,2.07,0.0
20190609:1410,218.16,292.34,39.78,23.8,2.34,0.0
20190609:1510,98.28,140.61,30.18,23.85,2.48,0.0
20190609:1610,84.78,122.18,20.6,23.69,2.41,0.0
20190609:1710,37.47,62.45,11.37,22.92,2.0,0.0
20190609:1810,2.15,10.86,2.82,21.63,2.0,0.0
20190609:1910,0.0,0.0,0.0,20.15,2.0,0.0
20190609:2010,0.0,0.0,0.0,19.3,2.28,0.0
20190609:2110,0.0,0.0,0.0,18.72,2.41,0.0
20190609:2210,0.0,0.0,0.0,18.37,2.55,0.0
20190609:2310,0.0,0.0,0.0,17.92,2.41,0.0
20190610:0010,0.0,0.0,0.0,17.62,2.28,0.0
20190610:0110,0.0,0.0,0.0,17.31,2.21,0.0
20190610:0210,0.0,0.0,0.0,17.01,2.28,0.0
20190610:0310,0.71,7.57,5.39,16.92,2.34,0.0
20190610:0410,252.26,313.69,14.18,17.57,2.21,0.0
20190610:0510,489.67,602.03,23.55,18.99,3.66,0.0
20190610:0610,614.37,773.51,33.18,20.34,3.1,0.0
20190610:0710,668.66,869.09,42.7,22.54,2.28,0.0
20190610:0810,701.73,924.63,51.55,24.1,2.34,0.0
20190610:0910,704.79,932.72,58.78,25.38,2.48,0.0
20190610:1010,660.33,869.54,62.78,26.34,2.62,0.0
20190610:1110,543.95,709.69,62.03,26.96,2.9,0.0
20190610:1210,430.52,563.78,56.85,27.16,2.97,0.0
20190610:1310,301.16,406.42,49.0,27.02,3.03,0.0
20190610:1410,204.29,288.28,39.87,26.99,3.24,0.0
20190610:1510,38.33,68.45,30.27,26.71,3.31,0.0
20190610:1610,63.69,96.84,20.68,25.92,3.03,0.0
20190610:1710,43.4,70.59,11.46,24.8,2.97,0.0
20190610:1810,0.0,1.81,2.91,23.38,3.03,0.0
20190610:1910,0.0,0.0,0.0,22.8,2.9,0.0
20190610:2010,0.0,0.0,0.0,21.91,3.03,0.0
20190610:2110,0.0,0.0,0.0,21.14,2.9,0.0
20190610:2210,0.0,0.0,0.0,20.39,2.83,0.0
20190610:2310,0.0,0.0,0.0,19.7,2.69,0.0
20190611:0010,0.0,0.0,0.0,19.02,2.55,0.0
20190611:0110,0.0,0.0,0.0,18.34,2.28,0.0
20190611:0210,0.0,0.0,0.0,17.68,2.07,0.0
20190611:0310,19.18,36.95,5.43,17.09,1.93,0.0
20190611:0410,340.55,421.31,14.2,17.65,1.59,0.0
20190611:0510,492.85,621.58,23.57,19.86,1.45,0.0
20190611:0610,609.07,793.17,33.2,22.36,1.38,0.0
20190611:0710,687.5,901.51,42.72,24.27,2.48,0.0
20190611:0810,708.55,936.87,51.58,25.32,2.62,0.0
20190611:0910,702.25,928.46,58.82,26.3,2.9,0.0
20190611:1010,654.63,860.71,62.85,27.02,3.03,0.0
20190611:1110,566.44,740.46,62.11,27.51,2.97,0.0
20190611:1210,440.97,580.06,56.94,27.91,2.83,0.0
20190611:1310,294.02,403.76,49.08,28.3,2.76,0.0
20190611:1410,132.83,224.24,39.95,28.18,2.97,0.0
20190611:1510,19.45,38.79,30.36,26.7,3.1,0.0
20190611:1610,21.58,41.63,20.77,25.59,2.34,0.0
20190611:1710,21.68,41.63,11.54,24.74,2.34,0.0
20190611:1810,0.0,1.81,3.0,23.66,2.28,0.0
20190611:1910,0.0,0.0,0.0,22.55,2.28,0.0
20190611:2010,0.0,0.0,0.0,21.38,2.21,0.0
20190611:2110,0.0,0.0,0.0,20.65,2.14,0.0
20190611:2210,0.0,0.0,0.0,19.78,2.21,0.0
20190611:2310,0.0,0.0,0.0,19.15,2.14,0.0
20190612:0010,0.0,0.0,0.0,18.54,1.93,0.0
20190612:0110,0.0,0.0,0.0,17.8,1.72,0.0
20190612:0210,0.0,0.0,0.0,16.95,1.59,0.0
20190612:0310,2.99,12.3,5.45,16.39,1.52,0.0
20190612:0410,267.2,333.14,14.22,17.55,1.24,0.0
20190612:0510,482.61,612.02,23.59,20.43,1.17,0.0
20190612:0610,600.56,783.75,33.22,22.99,1.38,0.0
20190612:0710,644.33,845.35,42.74,24.83,2.28,0.0
20190612:0810,661.54,874.05,51.61,26.06,2.55,0.0
20190612:0910,685.26,909.93,58.86,27.08,2.76,0.0
20190612:1010,659.68,870.56,62.91,27.73,3.03,0.0
20190612:1110,554.95,725.62,62.19,28.08,3.24,0.0
20190612:1210,433.97,569.62,57.02,27.88,3.1,0.0
20190612:1310,291.5,401.12,49.16,27.4,2.34,0.0
20190612:1410,132.24,223.54,40.03,27.29,2.14,0.0
20190612:1510,38.33,70.41,30.44,27.11,2.41,0.0
20190612:1610,59.2,91.41,20.85,26.5,2.83,0.0
20190612:1710,37.02,62.45,11.62,25.36,2.62,0.0
20190612:1810,2.56,11.77,3.08,23.94,2.48,0.0
20190612:1910,0.0,0.0,0.0,22.89,2.62,0.0
20190612:2010,0.0,0.0,0.0,22.0,2.62,0.0
20190612:2110,0.0,0.0,0.0,21.35,2.41,0.0
20190612:2210,0.0,0.0,0.0,20.77,2.34,0.0
20190612:2310,0.0,0.0,0.0,20.21,2.34,0.0
20190613:0010,0.0,0.0,0.0,19.83,2.41,0.0
20190613:0110,0.0,0.0,0.0,19.61,2.41,0.0
20190613:0210,0.0,0.0,0.0,19.41,2.41,0.0
20190613:0310,6.15,17.97,5.47,19.23,2.41,0.0
20190613:0410,308.62,384.79,14.24,19.9,2.28,0.0
20190613:0510,494.45,624.99,23.6,21.74,2.07,0.0
20190613:0610,611.52,790.59,33.23,23.91,2.41,0.0
20190613:0710,684.25,893.68,42.75,25.41,3.17,0.0
20190613:0810,702.32,922.48,51.63,26.54,3.52,0.0
20190613:0910,684.8,901.31,58.9,27.57,3.66,0.0
20190613:1010,650.36,855.02,62.96,28.34,3.59,0.0
20190613:1110,564.6,739.06,62.25,28.81,3.45,0.0
20190613:1210,438.98,578.55,57.09,29.02,3.24,0.0
20190613:1310,285.3,397.52,49.24,29.2,3.1,0.0
20190613:1410,132.24,224.07,40.11,28.96,3.38,0.0
20190613:1510,41.42,75.32,30.51,28.04,3.24,0.0
20190613:1610,60.4,93.22,20.92,27.37,3.45,0.0
20190613:1710,38.95,65.16,11.7,26.11,2.97,0.0
20190613:1810,3.97,14.48,3.16,24.69,2.83,0.0
20190613:1910,0.0,0.0,0.0,23.86,2.62,0.0
20190613:2010,0.0,0.0,0.0,23.04,2.62,0.0
20190613:2110,0.0,0.0,0.0,22.43,2.55,0.0
20190613:2210,0.0,0.0,0.0,21.84,2.41,0.0
20190613:2310,0.0,0.0,0.0,21.45,2.34,0.0
20190614:0010,0.0,0.0,0.0,21.08,2.34,0.0
20190614:0110,0.0,0.0,0.0,20.86,2.34,0.0
20190614:0210,0.0,0.0,0.0,20.54,2.34,0.0
20190614:0310,0.31,6.62,5.48,20.41,2.28,0.0
20190614:0410,207.9,266.12,14.24,20.72,1.52,0.0
20190614:0510,288.6,365.98,23.6,22.39,2.14,0.0
20190614:0610,562.03,717.86,33.23,21.66,2.0,0.0
20190614:0710,569.34,736.27,42.76,24.29,2.48,0.0
20190614:0810,585.14,764.31,51.64,25.2,2.41,0.0
20190614:0910,326.95,426.53,58.92,26.24,2.41,0.0
20190614:1010,377.09,490.62,63.01,26.74,3.1,0.0
20190614:1110,539.27,709.9,62.32,26.49,1.86,0.0
20190614:1210,394.54,525.18,57.16,26.94,1.03,0.0
20190614:1310,281.88,378.88,49.31,27.13,0.69,0.0
20190614:1410,188.02,276.65,40.18,27.62,0.48,0.0
20190614:1510,82.23,126.53,30.58,27.53,0.34,0.0
20190614:1610,80.11,118.56,20.99,27.33,0.97,0.0
20190614:1710,43.65,71.5,11.77,26.3,0.9,0.0
20190614:1810,2.1,10.86,3.23,25.09,0.83,0.0
20190614:1910,0.0,0.0,0.0,23.27,1.59,0.0
20190614:2010,0.0,0.0,0.0,22.13,1.59,0.0
20190614:2110,0.0,0.0,0.0,21.19,1.45,0.0
20190614:2210,0.0,0.0,0.0,20.21,1.45,0.0
20190614:2310,0.0,0.0,0.0,19.36,1.31,0.0
20190615:0010,0.0,0.0,0.0,18.88,1.1,0.0
20190615:0110,0.0,0.0,0.0,17.98,1.59,0.0
20190615:0210,0.0,0.0,0.0,17.82,1.79,0.0
20190615:0310,5.07,16.08,5.49,18.02,1.79,0.0
20190615:0410,293.92,367.72,14.25,19.32,1.52,0.0
20190615:0510,487.74,618.55,23.6,21.54,1.66,0.0
20190615:0610,609.59,790.68,33.23,23.45,2.0,0.0
20190615:0710,664.52,885.44,42.76,25.27,1.66,0.0
20190615:0810,691.19,929.13,51.65,26.9,2.0,0.0
20190615:0910,681.88,917.33,58.95,28.19,2.28,0.0
20190615:1010,636.68,852.13,63.05,29.1,2.41,0.0
20190615:1110,556.55,738.83,62.37,29.72,2.55,0.0
20190615:1210,436.48,581.79,57.23,30.09,2.48,0.0
20190615:1310,286.65,401.97,49.38,30.21,2.28,0.0
20190615:1410,132.64,226.39,40.25,30.32,2.21,0.0
20190615:1510,38.56,73.77,30.65,30.15,2.34,0.0
20190615:1610,56.29,88.7,21.06,29.11,2.55,0.0
20190615:1710,33.87,58.83,11.83,27.68,2.69,0.0
20190615:1810,4.43,15.39,3.29,26.04,2.83,0.0
20190615:1910,0.0,0.0,0.0,25.26,2.97,0.0
20190615:2010,0.0,0.0,0.0,24.64,3.17,0.0
20190615:2110,0.0,0.0,0.0,24.23,3.38,0.0
20190615:2210,0.0,0.0,0.0,23.87,3.38,0.0
20190615:2310,0.0,0.0,0.0,23.41,3.31,0.0
20190616:0010,0.0,0.0,0.0,23.06,3.31,0.0
20190616:0110,0.0,0.0,0.0,22.57,3.03,0.0
20190616:0210,0.0,0.0,0.0,21.88,2.76,0.0
20190616:0310,24.62,44.94,5.49,21.12,2.34,0.0
20190616:0410,123.9,166.59,14.25,21.06,1.79,0.0
20190616:0510,406.42,516.03,23.6,22.54,1.52,0.0
20190616:0610,574.91,744.54,33.23,24.17,2.07,0.0
20190616:0710,656.53,860.56,42.76,24.02,2.14,0.0
20190616:0810,682.37,905.35,51.65,25.22,2.14,0.0
20190616:0910,681.56,907.73,58.96,26.4,2.28,0.0
20190616:1010,636.94,845.67,63.08,27.42,2.34,0.0
20190616:1110,558.69,737.19,62.42,28.24,2.41,0.0
20190616:1210,430.41,572.02,57.28,28.89,2.14,0.0
20190616:1310,302.01,412.83,49.44,29.11,1.66,0.0
20190616:1410,160.04,250.79,40.31,29.12,1.79,0.0
20190616:1510,132.49,187.41,30.71,28.41,2.48,0.0
20190616:1610,18.43,37.11,21.12,25.2,3.66,0.0
20190616:1710,14.28,30.77,11.89,22.48,4.07,0.0
20190616:1810,0.91,8.15,3.35,21.39,2.62,0.0
20190616:1910,0.0,0.0,0.0,21.97,2.41,0.0
20190616:2010,0.0,0.0,0.0,21.33,2.34,0.0
20190616:2110,0.0,0.0,0.0,20.77,2.28,0.0
20190616:2210,0.0,0.0,0.0,20.17,2.48,0.0
20190616:2310,0.0,0.0,0.0,19.6,2.97,0.0
20190617:0010,0.0,0.0,0.0,19.11,3.03,0.0
20190617:0110,0.0,0.0,0.0,18.67,2.97,0.0
20190617:0210,0.0,0.0,0.0,18.32,2.97,0.0
20190617:0310,0.0,4.73,5.49,17.92,2.76,0.0
20190617:0410,4.52,15.14,14.24,18.05,2.55,0.0
20190617:0510,12.95,28.38,23.59,18.33,3.03,0.0
20190617:0610,41.27,66.22,33.22,18.88,2.9,0.0
20190617:0710,61.75,91.76,42.75,19.22,3.38,0.0
20190617:0810,82.58,117.3,51.65,19.76,3.52,0.0
20190617:0910,111.36,152.3,58.97,20.32,3.31,0.0
20190617:1010,82.13,117.3,63.11,20.79,3.31,0.0
20190617:1110,187.94,245.01,62.46,21.18,3.38,0.0
20190617:1210,288.67,366.7,57.34,20.71,3.66,0.0
20190617:1310,185.33,241.1,49.49,20.81,4.07,0.0
20190617:1410,137.54,183.52,40.36,20.35,3.79,0.0
20190617:1510,113.79,154.84,30.77,19.8,3.66,0.0
20190617:1610,74.74,107.7,21.18,19.34,2.9,0.0
20190617:1710,39.68,64.26,11.95,18.87,1.93,0.0
20190617:1810,0.0,3.62,3.41,18.39,1.1,0.0
20190617:1910,0.0,0.0,0.0,18.22,1.1,0.0
20190617:2010,0.0,0.0,0.0,17.67,1.1,0.0
20190617:2110,0.0,0.0,0.0,17.41,1.45,0.0
20190617:2210,0.0,0.0,0.0,17.65,1.79,0.0
20190617:2310,0.0,0.0,0.0,17.46,1.93,0.0
20190618:0010,0.0,0.0,0.0,17.16,2.0,0.0
20190618:0110,0.0,0.0,0.0,17.18,2.0,0.0
20190618:0210,0.0,0.0,0.0,17.03,2.0,0.0
20190618:0310,2.98,12.3,5.48,16.86,2.07,0.0
20190618:0410,61.51,90.45,14.23,17.05,2.07,0.0
20190618:0510,77.31,110.11,23.57,17.7,2.07,0.0
20190618:0610,243.7,307.49,33.2,18.62,2.48,0.0
20190618:0710,327.73,408.35,42.74,17.59,2.28,0.0
20190618:0810,240.18,305.11,51.64,19.37,3.59,0.0
20190618:0910,385.69,485.59,58.97,21.04,3.72,0.0
20190618:1010,352.79,448.54,63.12,22.19,3.45,0.0
20190618:1110,299.71,384.59,62.5,22.85,3.17,0.0
20190618:1210,342.52,440.19,57.38,23.23,2.97,0.0
20190618:1310,239.95,312.81,49.54,23.56,2.83,0.0
20190618:1410,155.3,208.62,40.42,23.8,2.83,0.0
20190618:1510,131.68,182.63,30.82,23.31,3.24,0.0
20190618:1610,99.56,139.38,21.23,22.14,2.55,0.0
20190618:1710,43.33,69.69,12.0,21.73,1.86,0.0
20190618:1810,0.0,2.72,3.45,21.23,2.14,0.0
20190618:1910,0.0,0.0,0.0,19.91,1.45,0.0
20190618:2010,0.0,0.0,0.0,19.13,1.24,0.0
20190618:2110,0.0,0.0,0.0,18.52,1.52,0.0
20190618:2210,0.0,0.0,0.0,17.97,1.59,0.0
20190618:2310,0.0,0.0,0.0,17.59,1.59,0.0
20190619:0010,0.0,0.0,0.0,17.26,1.66,0.0
20190619:0110,0.0,0.0,0.0,17.17,1.59,0.0
20190619:0210,0.0,0.0,0.0,16.93,1.66,0.0
20190619:0310,0.0,3.78,5.47,16.65,1.59,0.0
20190619:0410,17.69,35.0,14.21,17.25,1.59,0.0
20190619:0510,204.78,260.66,23.55,18.51,1.72,0.0
20190619:0610,218.45,280.56,33.18,20.06,1.59,0.0
20190619:0710,223.5,291.76,42.72,23.14,1.66,0.0
20190619:0810,316.06,408.96,51.62,24.36,2.07,0.0
20190619:0910,659.77,869.16,58.96,24.87,2.28,0.0
20190619:1010,202.39,268.67,63.14,25.3,2.07,0.0
20190619:1110,82.17,120.14,62.53,25.87,2.07,0.0
20190619:1210,43.41,70.95,57.42,25.73,1.72,0.0
20190619:1310,240.24,318.7,49.59,25.9,1.52,0.0
20190619:1410,110.79,155.14,40.46,25.1,2.14,0.0
20190619:1510,111.81,160.27,30.86,23.39,2.69,0.0
20190619:1610,56.08,85.98,21.28,22.29,2.14,0.0
20190619:1710,28.72,50.68,12.04,21.78,2.28,0.0
20190619:1810,3.08,12.67,3.5,21.21,1.93,0.0
20190619:1910,0.0,0.0,0.0,20.75,2.28,0.0
20190619:2010,0.0,0.0,0.0,20.27,2.28,0.0
20190619:2110,0.0,0.0,0.0,20.02,2.41,0.0
20190619:2210,0.0,0.0,0.0,19.88,2.41,0.0
20190619:2310,0.0,0.0,0.0,19.61,2.41,0.0
20190620:0010,0.0,0.0,0.0,19.44,2.34,0.0
20190620:0110,0.0,0.0,0.0,19.36,2.28,0.0
20190620:0210,0.0,0.0,0.0,19.12,2.21,0.0
20190620:0310,0.0,3.78,5.45,18.85,2.14,0.0
20190620:0410,108.36,147.06,14.18,19.45,2.07,0.0
20190620:0510,222.08,283.43,23.53,20.85,2.21,0.0
20190620:0610,422.81,530.87,33.15,22.04,3.1,0.0
20190620:0710,347.09,438.76,42.69,22.06,3.17,0.0
20190620:0810,396.19,503.51,51.6,23.16,3.38,0.0
20190620:0910,219.45,287.19,58.95,23.98,2.9,0.0
20190620:1010,408.81,528.59,63.14,24.66,2.48,0.0
20190620:1110,338.61,440.92,62.55,25.3,2.21,0.0
20190620:1210,432.02,565.15,57.46,25.53,2.0,0.0
20190620:1310,292.48,401.29,49.63,25.7,1.93,0.0
20190620:1410,135.56,226.61,40.5,25.75,1.93,0.0
20190620:1510,41.9,79.28,30.91,25.63,2.14,0.0
20190620:1610,41.93,68.78,21.32,24.94,2.0,0.0
20190620:1710,39.98,66.07,12.09,24.04,1.1,0.0
20190620:1810,5.54,17.2,3.54,23.19,1.17,0.0
20190620:1910,0.0,0.0,0.0,21.56,1.72,0.0
20190620:2010,0.0,0.0,0.0,20.68,1.72,0.0
20190620:2110,0.0,0.0,0.0,20.09,1.93,0.0
20190620:2210,0.0,0.0,0.0,19.63,1.93,0.0
20190620:2310,0.0,0.0,0.0,18.92,1.66,0.0
20190621:0010,0.0,0.0,0.0,18.31,1.66,0.0
20190621:0110,0.0,0.0,0.0,17.75,1.79,0.0
20190621:0210,0.0,0.0,0.0,17.63,1.93,0.0
20190621:0310,2.96,12.3,5.42,17.64,1.79,0.0
20190621:0410,4.51,15.14,14.16,18.28,1.38,0.0
20190621:0510,50.66,78.52,23.5,20.16,1.52,0.0
20190621:0610,66.3,98.38,33.12,21.37,1.79,0.0
20190621:0710,418.33,530.68,42.66,22.31,2.48,0.0
20190621:0810,434.87,556.84,51.58,22.83,2.14,0.0
20190621:0910,526.9,679.53,58.94,23.12,2.28,0.0
20190621:1010,529.94,685.22,63.14,24.06,2.55,0.0
20190621:1110,208.41,275.12,62.57,24.52,2.14,0.0
20190621:1210,156.76,211.9,57.48,24.84,1.66,0.0
20190621:1310,268.56,355.56,49.66,25.17,1.1,0.0
20190621:1410,208.15,293.2,40.54,25.26,0.83,0.0
20190621:1510,88.37,134.19,30.95,24.2,1.93,0.0
20190621:1610,87.68,124.9,21.35,22.03,2.28,0.0
20190621:1710,34.97,58.83,12.12,21.26,1.17,0.0
20190621:1810,0.54,7.24,3.57,20.94,0.97,0.0
20190621:1910,0.0,0.0,0.0,20.57,1.17,0.0
20190621:2010,0.0,0.0,0.0,19.81,1.86,0.0
20190621:2110,0.0,0.0,0.0,19.28,1.86,0.0
20190621:2210,0.0,0.0,0.0,18.9,1.86,0.0
20190621:2310,0.0,0.0,0.0,18.55,2.07,0.0
20190622:0010,0.0,0.0,0.0,18.36,1.93,0.0
20190622:0110,0.0,0.0,0.0,18.34,2.0,0.0
20190622:0210,0.0,0.0,0.0,18.09,2.14,0.0
20190622:0310,7.37,19.87,5.39,17.94,2.28,0.0
20190622:0410,39.47,63.67,14.12,18.0,2.07,0.0
20190622:0510,174.61,224.62,23.46,18.37,2.41,0.0
20190622:0610,445.42,554.95,33.09,18.95,2.21,0.0
20190622:0710,471.17,591.76,42.63,20.23,2.62,0.0
20190622:0810,545.81,693.72,51.55,20.79,2.48,0.0
20190622:0910,558.75,715.08,58.91,21.88,2.62,0.0
20190622:1010,272.76,351.18,63.13,22.49,2.69,0.0
20190622:1110,211.09,276.07,62.58,23.17,2.76,0.0
20190622:1210,319.35,411.28,57.51,23.4,2.9,0.0
20190622:1310,313.22,408.28,49.69,23.36,3.24,0.0
20190622:1410,175.99,259.05,40.57,21.24,3.38,0.0
20190622:1510,111.1,158.6,30.98,21.08,2.62,0.0
20190622:1610,25.58,46.16,21.39,20.13,2.9,0.0
20190622:1710,15.72,32.58,12.15,19.93,1.17,0.0
20190622:1810,0.0,1.81,3.6,19.74,1.31,0.0
20190622:1910,0.0,0.0,0.0,18.73,1.66,0.0
20190622:2010,0.0,0.0,0.0,18.32,1.79,0.0
20190622:2110,0.0,0.0,0.0,18.13,1.72,0.0
20190622:2210,0.0,0.0,0.0,17.83,1.86,0.0
20190622:2310,0.0,0.0,0.0,17.8,2.07,0.0
20190623:0010,0.0,0.0,0.0,17.92,2.34,0.0
20190623:0110,0.0,0.0,0.0,17.85,2.69,0.0
20190623:0210,0.0,0.0,0.0,17.75,2.76,0.0
20190623:0310,0.0,3.78,5.35,17.61,2.69,0.0
20190623:0410,4.54,15.14,14.08,17.55,2.83,0.0
20190623:0510,135.68,178.41,23.42,17.61,3.03,0.0
20190623:0610,245.74,307.78,33.05,17.75,3.24,0.0
20190623:0710,475.35,586.15,42.59,18.51,4.0,0.0
20190623:0810,638.09,797.67,51.51,19.23,4.07,0.0
20190623:0910,709.89,898.15,58.88,20.53,4.07,0.0
20190623:1010,523.12,658.19,63.11,21.45,4.28,0.0
20190623:1110,484.76,611.31,62.58,22.15,4.41,0.0
20190623:1210,438.28,555.02,57.52,22.31,4.41,0.0
20190623:1310,258.75,333.54,49.71,23.06,4.69,0.0
20190623:1410,172.98,229.12,40.6,23.23,4.34,0.0
20190623:1510,137.67,186.26,31.01,23.24,4.21,0.0
20190623:1610,101.63,142.1,21.41,22.88,3.72,0.0
20190623:1710,47.53,75.12,12.18,22.27,3.03,0.0
20190623:1810,4.56,15.39,3.62,21.56,3.03,0.0
20190623:1910,0.0,0.0,0.0,20.58,2.9,0.0
20190623:2010,0.0,0.0,0.0,19.94,2.83,0.0
20190623:2110,0.0,0.0,0.0,19.44,2.97,0.0
20190623:2210,0.0,0.0,0.0,19.03,2.62,0.0
20190623:2310,0.0,0.0,0.0,18.52,2.34,0.0
20190624:0010,0.0,0.0,0.0,18.14,2.48,0.0
20190624:0110,0.0,0.0,0.0,17.95,2.69,0.0
20190624:0210,0.0,0.0,0.0,17.8,2.83,0.0
20190624:0310,0.0,3.78,5.31,17.88,3.03,0.0
20190624:0410,19.0,36.89,14.04,18.12,3.72,0.0
20190624:0510,412.7,503.42,23.38,18.42,4.34,0.0
20190624:0610,626.41,772.29,33.0,18.59,4.48,0.0
20190624:0710,665.48,829.28,42.54,19.89,4.76,0.0
20190624:0810,385.26,481.44,51.47,20.88,4.62,0.0
20190624:0910,233.75,299.89,58.85,21.55,4.48,0.0
20190624:1010,440.75,555.1,63.09,21.94,4.48,0.0
20190624:1110,194.53,253.52,62.57,22.05,4.07,0.0
20190624:1210,219.76,284.35,57.53,22.34,4.21,0.0
20190624:1310,200.78,262.2,49.73,22.8,3.93,0.0
20190624:1410,218.24,287.42,40.62,22.83,3.79,0.0
20190624:1510,148.97,202.15,31.03,22.68,3.79,0.0
20190624:1610,99.58,139.38,21.44,22.44,3.52,0.0
20190624:1710,45.45,72.41,12.2,22.01,3.03,0.0
20190624:1810,4.06,14.48,3.63,21.34,2.69,0.0
20190624:1910,0.0,0.0,0.0,20.92,2.0,0.0
20190624:2010,0.0,0.0,0.0,20.38,2.14,0.0
20190624:2110,0.0,0.0,0.0,20.03,2.14,0.0
20190624:2210,0.0,0.0,0.0,19.29,2.07,0.0
20190624:2310,0.0,0.0,0.0,18.6,2.07,0.0
20190625:0010,0.0,0.0,0.0,17.95,2.07,0.0
20190625:0110,0.0,0.0,0.0,17.52,2.07,0.0
20190625:0210,0.0,0.0,0.0,17.19,2.14,0.0
20190625:0310,4.01,14.19,5.27,17.0,2.14,0.0
20190625:0410,278.56,345.23,13.99,17.6,2.07,0.0
20190625:0510,506.75,630.03,23.33,19.09,2.48,0.0
20190625:0610,638.53,809.42,32.95,20.57,2.83,0.0
20190625:0710,706.11,912.82,42.5,22.16,2.83,0.0
20190625:0810,720.46,937.6,51.42,23.58,3.17,0.0
20190625:0910,713.3,926.77,58.81,24.91,3.79,0.0
20190625:1010,656.31,850.6,63.06,25.88,3.86,0.0
20190625:1110,565.08,730.98,62.56,26.65,3.72,0.0
20190625:1210,446.62,581.14,57.54,27.0,3.59,0.0
20190625:1310,307.42,415.55,49.74,27.34,3.45,0.0
20190625:1410,154.66,245.62,40.64,27.34,3.24,0.0
20190625:1510,37.75,76.12,31.05,27.23,3.03,0.0
20190625:1610,59.09,91.41,21.45,26.81,2.55,0.0
20190625:1710,44.49,72.41,12.21,25.95,2.0,0.0
20190625:1810,4.98,16.29,3.64,24.49,2.14,0.0
20190625:1910,0.0,0.0,0.0,23.83,2.55,0.0
20190625:2010,0.0,0.0,0.0,22.88,2.76,0.0
20190625:2110,0.0,0.0,0.0,22.13,2.76,0.0
20190625:2210,0.0,0.0,0.0,21.46,2.62,0.0
20190625:2310,0.0,0.0,0.0,20.83,2.41,0.0
20190626:0010,0.0,0.0,0.0,20.21,2.28,0.0
20190626:0110,0.0,0.0,0.0,19.63,2.21,0.0
20190626:0210,0.0,0.0,0.0,19.17,2.14,0.0
20190626:0310,18.53,36.3,5.21,18.78,2.07,0.0
20190626:0410,293.22,366.71,13.94,19.39,1.66,0.0
20190626:0510,488.92,624.19,23.28,22.17,1.38,0.0
20190626:0610,583.38,765.16,32.9,24.6,1.45,0.0
20190626:0710,610.32,811.72,42.44,26.0,1.52,0.0
20190626:0810,666.53,896.02,51.37,27.33,1.93,0.0
20190626:0910,686.91,928.46,58.76,28.32,2.07,0.0
20190626:1010,637.25,855.63,63.03,29.1,2.21,0.0
20190626:1110,560.27,744.42,62.54,29.52,2.41,0.0
20190626:1210,440.49,585.97,57.53,30.05,2.62,0.0
20190626:1310,297.66,411.73,49.75,30.24,2.9,0.0
20190626:1410,156.46,249.36,40.65,30.36,2.97,0.0
20190626:1510,44.11,84.82,31.06,30.29,2.69,0.0
20190626:1610,57.44,90.51,21.46,29.77,1.86,0.0
20190626:1710,43.83,72.41,12.22,28.74,1.59,0.0
20190626:1810,5.4,17.2,3.65,27.43,1.86,0.0
20190626:1910,0.0,0.0,0.0,26.0,2.41,0.0
20190626:2010,0.0,0.0,0.0,25.11,2.55,0.0
20190626:2110,0.0,0.0,0.0,24.59,2.69,0.0
20190626:2210,0.0,0.0,0.0,24.27,2.97,0.0
20190626:2310,0.0,0.0,0.0,24.11,3.1,0.0
20190627:0010,0.0,0.0,0.0,24.06,3.17,0.0
20190627:0110,0.0,0.0,0.0,23.88,3.24,0.0
20190627:0210,0.0,0.0,0.0,23.66,3.38,0.0
20190627:0310,0.65,7.57,5.16,23.47,3.59,0.0
20190627:0410,193.83,250.88,13.88,23.64,3.72,0.0
20190627:0510,319.62,404.03,23.22,24.34,4.0,0.0
20190627:0610,199.57,261.73,32.84,25.15,4.34,0.0
20190627:0710,591.62,757.37,42.38,24.77,4.0,0.0
20190627:0810,380.04,485.88,51.31,25.04,4.14,0.0
20190627:0910,232.79,303.49,58.71,25.26,5.03,0.0
20190627:1010,575.94,734.96,62.98,24.74,4.9,0.0
20190627:1110,592.78,753.53,62.52,25.61,5.52,0.0
20190627:1210,468.0,599.71,57.53,26.21,5.59,0.0
20190627:1310,308.48,415.6,49.75,26.13,5.66,0.0
20190627:1410,141.93,234.29,40.66,25.73,5.59,0.0
20190627:1510,38.53,76.83,31.07,24.87,5.1,0.0
20190627:1610,68.09,101.37,21.47,23.88,4.48,0.0
20190627:1710,43.91,70.59,12.22,22.71,4.0,0.0
20190627:1810,5.61,17.2,3.65,21.52,3.45,0.0
20190627:1910,0.0,0.0,0.0,20.8,3.52,0.0
20190627:2010,0.0,0.0,0.0,20.01,3.59,0.0
20190627:2110,0.0,0.0,0.0,19.02,3.52,0.0
20190627:2210,0.0,0.0,0.0,18.19,3.45,0.0
20190627:2310,0.0,0.0,0.0,17.5,3.45,0.0
20190628:0010,0.0,0.0,0.0,16.9,3.45,0.0
